bucket,dedupe_key,source,kind,is_notice,committee_id,committee_name,committee_class,candidate_id,candidate_name,candidate_party,race_id,support_oppose,helps,amount,dissemination_date,filed_at,file_num,transaction_id,image_number,election_type,payee,purpose
unmatched,C00453704|1923862|SE.6913|ie,bulk,ie,True,C00453704,EMGAGE FEDERAL POLITICAL ACTION COMMITTEE,,,"Hashmi, Ghazala",,,S,,1750.0,2025-10-29,2025-10-30,1923862,SE.6913,202510309792076938,G,Blue Print Interactive,Digital Ads
unmatched,C00888081|1941253|PDT.E.53|ie,bulk,ie,True,C00888081,Health Care Saves Lives,,,"Baugh, Scott",,,O,,999.74,2024-10-23,2026-01-30,1941253,PDT.E.53,202601309795275561,G,Scale to Win,Text Messages; Actual for 24 hour report filed on 10/25/24
unmatched,C00735738|2010343|WFT20267312037-1|ie,bulk,ie,True,C00735738,"KNOCK FOR DEMOCRACY, INC.",,,"Stelson, Janelle",,,S,,1645.0,2026-08-24,2026-08-31,2010343,WFT20267312037-1,202608319904053633,G,Astral Transportation,Canvasser Transportation
unmatched,C00722884|1980911|EDT.E.43|ie,bulk,ie,True,C00722884,LGBTQ CONNECTION PAC,,,"HARDING, BRINKER",,,O,,161.29,2026-05-08,2026-06-02,1980911,EDT.E.43,202606029870359241,G,"FLEISCHER, DAVID",CONSULTING
unmatched,C00722884|2003579|EDT.E.111|ie,bulk,ie,True,C00722884,LGBTQ CONNECTION PAC,,,"HARDING, BRINKER",,,O,,1938.51,2026-07-15,2026-08-02,2003579,EDT.E.111,202608029899313080,G,"DOYLE, COLLEEN",TRAVEL EXPENSES FOR CANVASSER
unmatched,C00722884|1980911|EDT.E.34|ie,bulk,ie,True,C00722884,LGBTQ CONNECTION PAC,,,"HARDING, BRINKER",,,O,,203.65,2026-05-28,2026-06-02,1980911,EDT.E.34,202606029870359240,G,"DE LA CRUZ, DARIUS",SALARY
unmatched,C00722884|1980911|EDT.E.31|ie,bulk,ie,True,C00722884,LGBTQ CONNECTION PAC,,,"HARDING, BRINKER",,,O,,233.03,2026-05-28,2026-06-02,1980911,EDT.E.31,202606029870359240,G,"DICAMILLO, NATHAN",SALARY
unmatched,C00722884|1980911|EDT.E.37|ie,bulk,ie,True,C00722884,LGBTQ CONNECTION PAC,,,"HARDING, BRINKER",,,O,,249.73,2026-05-28,2026-06-02,1980911,EDT.E.37,202606029870359242,G,PAYROLL TAXES,PAYROLL TAXES
unmatched,C00722884|1980911|EDT.E.41|ie,bulk,ie,True,C00722884,LGBTQ CONNECTION PAC,,,"HARDING, BRINKER",,,O,,300.0,2026-05-28,2026-06-02,1980911,EDT.E.41,202606029870359242,G,MT. MORIAH MISSIONARY BAPTIST CHURCH,FACILITY RENTAL FOR CANVASSING
unmatched,C00722884|1986729|EDT.E.78|ie,bulk,ie,True,C00722884,LGBTQ CONNECTION PAC,,,"HARDING, BRINKER",,,O,,188.45,2026-06-02,2026-06-26,1986729,EDT.E.78,202606269874268905,G,"MASON, WINSLOW",TRAVEL EXPENSES FOR CANVASSER
unmatched,C00722884|1986729|EDT.E.76|ie,bulk,ie,True,C00722884,LGBTQ CONNECTION PAC,,,"HARDING, BRINKER",,,O,,279.5,2026-06-18,2026-06-26,1986729,EDT.E.76,202606269874268903,G,"DAILY, ROBIN",TRAVEL EXPENSES FOR CANVASSER
unmatched,C00722884|1986729|EDT.E.55|ie,bulk,ie,True,C00722884,LGBTQ CONNECTION PAC,,,"HARDING, BRINKER",,,O,,523.2,2026-06-08,2026-06-26,1986729,EDT.E.55,202606269874268904,G,"DOYLE, COLLEEN",TRAVEL EXPENSES FOR CANVASSER
unmatched,C00722884|1986729|EDT.E.57|ie,bulk,ie,True,C00722884,LGBTQ CONNECTION PAC,,,"HARDING, BRINKER",,,O,,712.61,2026-06-08,2026-06-26,1986729,EDT.E.57,202606269874268903,G,"DE LA CRUZ, DARIUS",TRAVEL EXPENSES FOR CANVASSER
unmatched,C00722884|1986729|EDT.E.79|ie,bulk,ie,True,C00722884,LGBTQ CONNECTION PAC,,,"HARDING, BRINKER",,,O,,874.14,2026-06-02,2026-06-26,1986729,EDT.E.79,202606269874268904,G,"DOYLE, COLLEEN",TRAVEL EXPENSES FOR CANVASSER
unmatched,C00722884|1986729|EDT.E.53|ie,bulk,ie,True,C00722884,LGBTQ CONNECTION PAC,,,"HARDING, BRINKER",,,O,,1267.31,2026-06-03,2026-06-26,1986729,EDT.E.53,202606269874268906,G,"MASON, WINSLOW",TRAVEL EXPENSES FOR CANVASSER
unmatched,C00722884|1986729|EDT.E.77|ie,bulk,ie,True,C00722884,LGBTQ CONNECTION PAC,,,"HARDING, BRINKER",,,O,,2319.22,2026-06-24,2026-06-26,1986729,EDT.E.77,202606269874268906,G,"MASON, WINSLOW",TRAVEL EXPENSES FOR CANVASSER
