dedupe_key,source,kind,is_notice,committee_id,committee_name,committee_class,candidate_id,candidate_name,candidate_party,race_id,support_oppose,helps,amount,dissemination_date,filed_at,file_num,transaction_id,image_number,election_type,payee,purpose
C00552851|2014849|EA9D8543C400143B1ADF|ie,bulk,ie,True,C00552851,FREEDOM CAUCUS FUND,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,S,REP,5.5,2026-08-26,2026-09-23,2014849,EA9D8543C400143B1ADF,202609239908388913,G,FREEDOM CAUCUS FUND,IE- BEGICH - DONATION PROCESSING
C00944389|2010146|SE.4409|ie,bulk,ie,True,C00944389,WHEEL DOG PAC,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,6000.0,2026-08-26,2026-08-28,2010146,SE.4409,202608289904046560,G,True Blue Strategies LLC,Digital Ad Production
C00944389|2010146|SE.4413|ie,bulk,ie,True,C00944389,WHEEL DOG PAC,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,32500.0,2026-08-26,2026-08-28,2010146,SE.4413,202608289904046561,G,True Blue Strategies LLC,Digital Ad Buy
C00944389|2010531|SE.4420|ie,bulk,ie,True,C00944389,WHEEL DOG PAC,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,10000.0,2026-08-31,2026-09-02,2010531,SE.4420,202609029904074749,G,True Blue Strategies LLC,Digital Ad Production
C00944389|2010531|SE.4422|ie,bulk,ie,True,C00944389,WHEEL DOG PAC,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,51500.0,2026-08-31,2026-09-02,2010531,SE.4422,202609029904074749,G,True Blue Strategies LLC,Digital Buy
C00552851|2014849|ED06A83B3CF6841E8AC5|ie,bulk,ie,True,C00552851,FREEDOM CAUCUS FUND,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,S,REP,14.5,2026-09-01,2026-09-23,2014849,ED06A83B3CF6841E8AC5,202609239908388914,G,FREEDOM CAUCUS FUND,IE- BEGICH - DONATION PROCESSING
C00960435|2010925|SE.1178006.1|ie,bulk,ie,True,C00960435,NO GOING BACK PAC INC.,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,S,REP,18955.35,2026-09-04,2026-09-05,2010925,SE.1178006.1,202609059904103943,G,CALIBER CONTACT,DIRECT MAIL: PRINTING AND POSTAGE
C00906701|2011519|SE.4224|ie,bulk,ie,True,C00906701,AMERICA FIRST AGRICULTURE ACTION INC.,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,S,REP,10000.0,2026-09-09,2026-09-11,2011519,SE.4224,202609119904193351,G,STRATEGIC MEDIA PLACEMENT INC.,PRODUCTION COSTS: DIGITAL AD
C00906701|2011519|SE.4226|ie,bulk,ie,True,C00906701,AMERICA FIRST AGRICULTURE ACTION INC.,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,S,REP,120000.0,2026-09-09,2026-09-11,2011519,SE.4226,202609119904193351,G,STRATEGIC MEDIA PLACEMENT INC.,DIGITAL ADVERTISING
C00552851|2014849|E1121E295EA6D445480F|ie,bulk,ie,True,C00552851,FREEDOM CAUCUS FUND,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,S,REP,24.75,2026-09-09,2026-09-23,2014849,E1121E295EA6D445480F,202609239908388914,G,FREEDOM CAUCUS FUND,IE- BEGICH - DONATION PROCESSING
C00944389|2011682|SE.4472|ie,bulk,ie,True,C00944389,WHEEL DOG PAC,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,53000.0,2026-09-10,2026-09-12,2011682,SE.4472,202609129904198517,G,Skyward Media Planning,Radio Buy
C00944389|2011682|SE.4476|ie,bulk,ie,True,C00944389,WHEEL DOG PAC,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,1080.01,2026-09-10,2026-09-12,2011682,SE.4476,202609129904198518,G,Skyward Media Planning,Radio - Production
C90023581|2012134|F57.000002|ie,bulk,ie,True,C90023581,907 Initiative Inc.,other,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,18842.53,2026-09-11,2026-09-15,2012134,F57.000002,202609169904217932,G,Ads for Good,Digital Ad Buy and Ad Production (Estimate)
C00960435|2011729|SE.1179391.1|ie,bulk,ie,True,C00960435,NO GOING BACK PAC INC.,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,S,REP,37910.7,2026-09-12,2026-09-13,2011729,SE.1179391.1,202609139904199584,G,CALIBER CONTACT,DIRECT MAIL: PRINTING AND POSTAGE
C00906701|2012377|SE.4230|ie,bulk,ie,True,C00906701,AMERICA FIRST AGRICULTURE ACTION INC.,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,S,REP,248246.43,2026-09-14,2026-09-16,2012377,SE.4230,202609169904266442,G,MINUTE MAIL CONSULTING GROUP LLC,DIRECT MAIL: PRINTING AND POSTAGE
C90023581|2012870|F57.000002|ie,bulk,ie,True,C90023581,907 INITIATIVE INC.,other,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,43358.75,2026-09-15,2026-09-17,2012870,F57.000002,202609179904302361,G,Ads for Good,Digital Ad Buy and Ad Production (Estimate)
C90023581|2012943|F57.000002|ie,bulk,ie,True,C90023581,907 Initiative Inc.,other,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,43358.75,2026-09-15,2026-09-17,2012943,F57.000002,202609189904311248,G,Ads for Good,Digital Ad Buy and Ad Production (Estimate)
C00487470|2012514|SE24.10699|ie,bulk,ie,True,C00487470,Club for Growth Action,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,S,REP,249.49,2026-09-15,2026-09-17,2012514,SE24.10699,202609179904273307,G,CLUB FOR GROWTH,DOOR TO DOOR FIELD PROGRAM (FROM ADVANCE LINE 21)
C00487470|2012514|SE24.10697|ie,bulk,ie,True,C00487470,Club for Growth Action,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,S,REP,23437.5,2026-09-15,2026-09-17,2012514,SE24.10697,202609179904273306,G,WHISTLESTOP STRATEGIES,DOOR TO DOOR FIELD PROGRAM
C00487470|2012514|SE24.10696|ie,bulk,ie,True,C00487470,Club for Growth Action,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,S,REP,320708.0,2026-09-15,2026-09-17,2012514,SE24.10696,202609179904273306,G,PATRIOTS GRASSROOTS,DOOR TO DOOR FIELD PROGRAM
C00495028|2014099|500680209|ie,bulk,ie,True,C00495028,HMP,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,7000.0,2026-09-15,2026-09-19,2014099,500680209,202609199904439457,G,Wavelength Strategy LLC,Media Production - Estimate
C00495028|2014099|500680139|ie,bulk,ie,True,C00495028,HMP,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,7093.62,2026-09-15,2026-09-19,2014099,500680139,202609199904439423,G,GPS Impact,Media Production - Estimate
C00495028|2014099|500680208|ie,bulk,ie,True,C00495028,HMP,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,174856.0,2026-09-15,2026-09-19,2014099,500680208,202609199904439457,G,Wavelength Strategy LLC,Digital Advertising - Estimate
C00944389|2012672|SE.4481|ie,bulk,ie,True,C00944389,WHEEL DOG PAC,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,53000.0,2026-09-15,2026-09-17,2012672,SE.4481,202609179904292930,G,Skyward Media Planning,Radio Buy
C00944389|2012672|SE.4485|ie,bulk,ie,True,C00944389,WHEEL DOG PAC,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,45.0,2026-09-15,2026-09-17,2012672,SE.4485,202609179904292929,G,Skyward Media Planning,Radio - Production
C00886614|2012833|SE.4929|ie,bulk,ie,True,C00886614,YOUR COMMUNITY PAC,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,383022.68,2026-09-15,2026-09-17,2012833,SE.4929,202609179904301456,G,Waterfront Strategies,TV Advertising (Estimate); also supporting Bill Hill
C00886614|2012833|SE.4932|ie,bulk,ie,True,C00886614,YOUR COMMUNITY PAC,super_pac,H2AK01083,"BEGICH, NICHOLAS III",REP,H-AK-00,O,DEM,12347.61,2026-09-15,2026-09-17,2012833,SE.4932,202609179904301455,G,SKDKnickerbocker LLC,TV Ad Production (Estimate); also supporting Bill Hill
