race_id,office,state,district,holder_party,holder_uncertain,open_seat,total,last_7d,dem_party_ie,dem_party_coord,dem_outside,dem_super_pac,dem_total,dem_last_7d,dem_first_party_dollar,dem_side,dem_nominee_candidate_id,dem_nominee_name,dem_nominee_basis,dem_nominee_receipts,dem_nominee_coh,dem_nominee_late_48h,dem_nominee_from_party,dem_nominee_through,rep_party_ie,rep_party_coord,rep_outside,rep_super_pac,rep_total,rep_last_7d,rep_first_party_dollar,rep_side,rep_nominee_candidate_id,rep_nominee_name,rep_nominee_basis,rep_nominee_receipts,rep_nominee_coh,rep_nominee_late_48h,rep_nominee_from_party,rep_nominee_through,split_signal,note
S-TX,S,TX,,REP,False,False,70459648.17,13645736.3,0.0,0.0,8206207.26,8175007.26,8206207.26,135529.8,,offense,S6TX00479,"TALARICO, JAMES",ie,68560930.42,21548155.08,0,0.0,2026-06-30,0.0,0.0,62253440.91,61761342.89,62253440.91,13510206.5,,defense,S6TX00388,"PAXTON, WARREN KENNETH JR.",ie,9248698.53,1755783.35,0,62000.0,2026-06-30,True,
S-MI,S,MI,,DEM,False,False,66067674.61,3479899.72,0.0,0.0,19076501.81,18065927.41,19076501.81,2128368.97,,defense,S6MI00418,"EL-SAYED, ABDUL",ie,14514335.93,2552762.55,0,0.0,2026-07-15,0.0,0.0,46991172.8,46699967.22,46991172.8,1351530.75,,offense,S4MI00595,"ROGERS, MICHAEL J",ie,10898177.09,4473237.49,0,62000.0,2026-07-15,True,
S-OH,S,OH,,REP,False,False,65036183.6,2246102.69,0.0,0.0,20838141.75,19787523.29,20838141.75,98293.2,,offense,S6OH00163,"BROWN, SHERROD",ie,38566234.1,16229741.32,0,200.0,2026-06-30,0.0,0.0,44198041.85,43522120.91,44198041.85,2147809.49,,defense,S6OH00304,"HUSTED, JON",ie,14360027.53,9419311.2,0,62050.0,2026-06-30,True,
S-NC,S,NC,,REP,False,False,58041976.04,432171.87,0.0,0.0,21004609.68,20087460.51,21004609.68,145649.53,,offense,S6NC00407,"COOPER, ROY",ie,34975789.18,20717567.26,0,70528.23,2026-06-30,0.0,0.0,37037366.36,36926162.95,37037366.36,286522.34,,defense,S6NC00415,"WHATLEY, MICHAEL",ie,11272504.49,3461698.06,0,62000.0,2026-06-30,True,
S-ME,S,ME,,REP,False,False,46579833.99,1331409.86,0.0,0.0,12328160.37,12220444.37,12328160.37,636097.22,,offense,S6ME00464,"JACKSON, TROY DALE",ie,0.0,0.0,0,0.0,,0.0,0.0,34251673.62,33356842.28,34251673.62,695312.64,,defense,S6ME00159,"COLLINS, SUSAN M.",ie,16169827.43,11038115.42,0,62000.0,2026-06-30,False,"Democratic nominee Troy Jackson replaced Graham Platner, whose campaign raised $21M through June 30. None of that counts for Jackson: his committee (C00955609) registered after the June 30 cutoff and files its first report Oct. 15. Until then, Maine's Democratic candidate money reads as zero, so the race is left out of split signals."
S-IA,S,IA,,REP,False,False,44977587.17,2189309.72,0.0,0.0,14541278.67,14541278.67,14541278.67,1097.21,,offense,S6IA00298,"TUREK, JOSHUA",ie,6276526.9,2362313.78,0,62000.0,2026-06-30,0.0,0.0,30436308.5,30390758.5,30436308.5,2188212.51,,defense,S6IA00314,"ARENHOLZ, ASHLEY HINSON",ie,10217845.39,6749491.49,0,62000.0,2026-06-30,False,
S-AK,S,AK,,REP,False,False,23771984.51,3356460.56,0.0,0.0,10599101.55,10050345.42,10599101.55,2808631.64,,offense,S6AK00276,"PELTOLA, MARY",ie,18545132.43,4636755.08,0,1500.0,2026-07-29,0.0,0.0,13172882.96,13172882.96,13172882.96,547828.92,,defense,S4AK00214,"SULLIVAN, DAN",ie,9136966.96,7295069.2,0,62000.0,2026-07-29,True,
S-NH,S,NH,,DEM,False,False,14785545.1,553276.31,0.0,0.0,4361373.99,4135555.99,4361373.99,1097.22,,defense,S6NH00141,"PAPPAS, CHRIS",ie,15384656.83,4251917.81,0,1500.0,2026-08-19,0.0,0.0,10424171.11,10317677.5,10424171.11,552179.09,,offense,S6NH00208,"SUNUNU, JOHN E",ie,4180251.88,3070033.12,0,62000.0,2026-08-19,True,
S-GA,S,GA,,DEM,False,False,12581374.37,374962.6,0.0,0.0,3978122.74,3969059.11,3978122.74,10972.22,,defense,S8GA00180,"OSSOFF, T. JONATHAN",ie,77279766.48,42587451.0,0,11000.0,2026-06-30,0.0,0.0,8603251.63,8519971.47,8603251.63,363990.38,,offense,S6GA00390,"COLLINS, MICHAEL A JR",ie,7409349.57,2079981.42,0,0.0,2026-06-30,True,
H-CO-08,H,CO,08,REP,False,False,7284659.49,195755.25,0.0,0.0,2508553.45,2179053.45,2508553.45,108898.37,,offense,H6CO08013,"RUTINEL, MANNY",ie,4336987.53,601232.01,0,0.0,2026-06-30,0.0,0.0,4776106.04,4672095.08,4776106.04,86856.88,,defense,H4CO08034,"EVANS, TIMOTHY GABRIEL JOSEPH",ie,5393673.36,3880462.51,0,5000.0,2026-06-30,False,
